,price
2482,181.0
2483,396.0
2484,130.0
2485,113.0
2486,700.0
2487,301.0
2488,1000.0
2489,158.0
2491,181.0
2492,301.0
2493,550.0
2494,236.0
2495,271.0
2497,280.0
2498,430.0
2500,171.0
2501,201.0
2502,208.0
2503,85.0
2504,106.0
2505,175.0
2506,499.0
2507,150.0
2508,475.0
2509,89.0
2510,348.0
2511,133.0
2513,161.0
2514,271.0
2515,144.0
2517,499.0
2520,400.0
2521,201.0
2522,291.0
2523,400.0
2524,339.0
2525,201.0
2527,184.0
2529,110.0
2531,683.0
2532,191.0
2533,113.0
2535,290.0
2536,249.0
2538,449.0
2540,451.0
2541,377.0
2542,751.0
2543,321.0
2546,301.0
2548,171.0
2549,342.0
2550,301.0
2551,185.0
2553,201.0
2554,79.0
2556,290.0
2558,137.0
2559,1001.0
2563,199.0
2565,232.0
2569,699.0
2570,229.0
2571,321.0
2572,482.0
2573,321.0
2574,143.0
2577,1264.0
2579,256.0
2580,717.0
2582,512.0
2585,151.0
2586,1096.0
2589,130.0
2592,161.0
2594,301.0
2597,75.0
2598,1199.0
2600,260.0
2601,161.0
2602,401.0
2604,151.0
2607,130.0
2608,61.0
2610,79.0
2611,219.0
2613,199.0
2614,850.0
2616,96.0
2619,615.0
2622,191.0
2624,1027.0
2625,250.0
2626,113.0
2627,109.0
2628,99.0
2632,150.0
2639,1007.0
2640,348.0
2641,649.0
2643,171.0
2644,137.0
2646,349.0
2647,499.0
2648,249.0
2650,280.0
2651,499.0
2652,359.0
2654,499.0
2655,72.0
2656,1001.0
2658,96.0
2660,55.0
2662,799.0
2663,301.0
2664,215.0
2665,208.0
2666,270.0
2667,499.0
2668,171.0
2669,281.0
2671,420.0
2673,229.0
2674,181.0
2675,410.0
2676,96.0
2678,239.0
2679,229.0
2680,99.0
2681,799.0
2682,1000.0
2683,188.0
2684,219.0
2685,290.0
2688,1001.0
2689,1010.0
2691,301.0
2692,120.0
2693,301.0
2694,499.0
2695,301.0
2696,376.0
2697,79.0
2698,342.0
2699,140.0
2700,348.0
2701,249.0
2703,700.0
2705,126.0
2707,65.0
2708,150.0
2709,1199.0
2710,301.0
2711,243.0
2712,199.0
2713,949.0
2714,280.0
2718,499.0
2721,219.0
2722,280.0
2723,751.0
2724,591.0
2726,260.0
2727,127.0
2728,99.0
2729,499.0
2730,451.0
2732,331.0
2735,1027.0
2736,61.0
2737,1001.0
2738,79.0
2739,191.0
2742,294.0
2745,109.0
2746,181.0
2747,1001.0
2748,191.0
2751,250.0
2752,99.0
2753,120.0
2754,1001.0
2756,437.0
2759,349.0
2760,499.0
2761,393.0
2762,348.0
2763,297.0
2764,290.0
2765,751.0
2767,601.0
2768,89.0
2769,514.0
2771,239.0
2772,229.0
2775,311.0
2776,400.0
2778,229.0
2779,599.0
2781,188.0
2782,482.0
2784,140.0
2786,123.0
2787,799.0
2789,301.0
2790,99.0
2791,854.0
2792,902.0
2794,201.0
2796,96.0
2798,551.0
2801,239.0
2803,51.0
2804,82.0
2805,99.0
2807,298.0
2808,683.0
2809,201.0
2810,499.0
2816,130.0
2817,301.0
2818,249.0
2819,499.0
2820,199.0
2822,130.0
2823,198.0
2827,714.0
2829,451.0
2831,512.0
2836,521.0
2837,208.0
2839,209.0
2840,191.0
2843,499.0
2846,700.0
2847,342.0
2848,201.0
2849,376.0
2852,499.0
2854,550.0
2856,201.0
2857,147.0
2859,178.0
2860,239.0
2862,181.0
2864,99.0
2865,266.0
2867,120.0
2868,150.0
2869,236.0
2871,389.0
2872,72.0
2873,301.0
2876,181.0
2884,99.0
2886,338.0
2888,1025.0
2889,137.0
2894,751.0
2895,99.0
2896,410.0
2898,150.0
2899,400.0
2901,451.0
2902,301.0
2904,181.0
2905,611.0
2906,89.0
2907,599.0
2908,188.0
2909,212.0
2911,342.0
2912,751.0
2914,301.0
2915,451.0
2916,637.0
2923,137.0
2924,89.0
2925,854.0
2926,625.0
2928,601.0
2930,500.0
2932,349.0
2933,188.0
2935,201.0
2937,201.0
2939,526.0
2940,150.0
2941,120.0
2944,546.0
2947,601.0
2949,420.0
2951,301.0
2953,349.0
2954,499.0
2956,1001.0
2962,171.0
2965,401.0
2966,400.0
2967,249.0
2968,181.0
2969,321.0
2970,96.0
2973,201.0
2974,550.0
2976,451.0
2977,400.0
2978,99.0
2979,601.0
2982,301.0
2983,451.0
2985,840.0
2986,500.0
